ano,questao,disciplina,primario,secundarios,resumo
2023,1,MAT,M19,M18|M01|M10,"gráfico de redes sociais: diferença das médias, ordens/classes e porcentagem do total"
2023,2,MAT,M06,M04|M02|M01,"MDC de fitas de 8 e 6 metros; saquinhos com 13 pedaços; divisores e ordens"
2023,3,MAT,M07,M05,"escrever 37/60 como soma de três frações unitárias consecutivas"
2023,4,MAT,M16,M02,"tempo de ir e voltar a pé dado ônibus+pé 1h10 e ônibus+ônibus 30 min"
2023,5,MAT,M10,M02,"60% de 80 acertos passa a 62% de 100; erros nas últimas 20"
2023,6,MAT,M12,M02,"coração na malha: lado pelo perímetro externo 100 m, área e latas de tinta"
2023,7,MAT,M09,M04|M01,"3 expressões com frações e decimais formam senha; múltiplo, primo, romano"
2023,8,MAT,M14,M15|M02,"altura do reservatório: 5 pessoas x 110 L x 7 dias, base 110x140 cm"
2023,9,MAT,M12,M15,"área de figura na malha quadriculada com quadrado de 10 m de lado"
2023,10,MAT,M12,M19|M08|M15,"perímetro do campo 70x175 m dividido por espaçamento (média 3 e 3,7 + 15 cm)"
2023,11,MAT,M18,M10|M04|M01,"gráfico de medalhas olímpicas: porcentagem, primo de 3 ordens, múltiplo de 7"
2023,12,MAT,M08,M17|M15,"comparar preço por kg de queijos (200 g, 1 kg, 4 kg) em reais"
2023,13,MAT,M14,M08|M07,"cubo de 125 cm³ deformado; altura final 8,75 cm como fração da inicial"
2023,14,MAT,M18,M20|M10|M19,"tabela de medalhas dos Jogos da Amizade: porcentagem, média, fração, probabilidade"
2023,15,MAT,M05,M08|M16,"patinadores com voltas de 0,7, 0,6 e 0,5 min; MMC e diferença de voltas"
2023,16,MAT,M07,M08,"torneiras enchem em 4 e 6 horas, ralo esvazia em 12; fração por hora"
2023,17,MAT,M07,M02|M16,"percorreu 1/5 e depois 2/3 do resto, faltam 540 m; tempo a 3 m/s"
2023,18,MAT,M13,,"sólidos: poliedros x corpos redondos, vértices, arestas e faces de prisma e pirâmide"
2023,19,MAT,M07,M15|M02,"7/12 de 3 litros em mL distribuídos em saquinhos de 25, 35 e 50 mL"
2023,20,MAT,M13,,"planificação correta do cubo de Rubik entre cinco opções"
2023,21,PORT,P06,,"finalidade do texto sobre educação física e rendimento escolar"
2023,22,PORT,P13,P01,"aspas nos parágrafos 2, 5 e 12 revelam o posicionamento de quem"
2023,23,PORT,P07,,"o que a expressão Esses dados retoma no 7º parágrafo"
2023,24,PORT,P12,P02,"significados diferentes (antônimos) de desanuviar a mente e promover"
2023,25,PORT,P02,P12,"substituir integral sem alterar o sentido (completo)"
2023,26,PORT,P02,,"ideia expressa por legado no contexto do Texto 2"
2023,27,PORT,P03,P09,"trecho do Texto 1 que melhor se relaciona com o Texto 2 (Jogos da Amizade)"
2023,28,PORT,P01,P15,"verbos que revelam os objetivos dos Jogos Internos (promover, desenvolver, selecionar)"
2023,29,PORT,P02,,"sentido de camaradagem e espírito de corpo (companheirismo e união)"
2023,30,PORT,P11,,"vírgula com função diferente da enumeração (vírgula antes de mas)"
2023,31,PORT,P07,P15,"relação lógico-discursiva dos conectivos para, e, com, além de, ou"
2023,32,PORT,P03,,"conclusão possível do Texto 4: não é preciso frequentar academia"
2023,33,PORT,P12,,"antônimo de cumulativas no contexto do Texto 4 (disseminadas)"
2023,34,PORT,P11,,"vírgula que indica expressão de explicação (ou seja)"
2023,35,PORT,P05,P01,"infográfico sedentário x ativo: linguagem verbal e não verbal e dados"
2023,36,PORT,P10,P05,"de onde vem o humor da tirinha do carteiro imortal (ironia)"
2023,37,PORT,P11,P05,"vírgula do vocativo Menino no primeiro quadrinho da tirinha"
2023,38,PORT,P05,P03,"o que retrata a tirinha muda do pênalti com interferência divina"
2023,39,PORT,P06,P05|P04,"finalidade da tirinha muda de Quino: entretenimento e riso"
2023,40,PORT,P07,P05|P15,"verbo implícito no 2º quadrinho retoma o verbo jogo do 1º (elipse)"
