ano,questao,disciplina,primario,secundarios,resumo
2024,1,MAT,M01,M02,"ordem do algarismo 5 na diferença 15 milhões menos 5,5 mil graus"
2024,2,MAT,M07,M10,"fração restante de radiação: 9/20 mais 20% e o que sobra"
2024,3,MAT,M02,M01,"sequência 1 2 4 7 11 16 até registro X; soma total de estrelas"
2024,4,MAT,M02,M01,"321 como soma de três consecutivos; soma dos algarismos do menor"
2024,5,MAT,M12,M08|M11,"área de quadrilátero irregular na malha com quadradinho de 0,5 cm"
2024,6,MAT,M20,M10|M07,"probabilidade de sortear constelação fora do Zodíaco (75 de 88) em %"
2024,7,MAT,M08,M15|M07|M01,"Lua afasta 3,78 cm por ano em 4,6 bilhões; comparar com 384400 km"
2024,8,MAT,M14,M15|M08,"volume do asteroide em km³ com medidas em hm, dam e m"
2024,9,MAT,M01,M02,"anos em romanos MCMLXXXVI e MMLXI; período do Halley e sexta aparição"
2024,10,MAT,M08,M18|M16,"idade em anos de Vênus a partir de 2 anos de Júpiter (tabela de dias)"
2024,11,MAT,M08,M10|M07|M18,"tabela de distâncias em ua: razões, porcentagem e décimos"
2024,12,MAT,M19,M08|M18,"média das distâncias dos 8 planetas comparada a um planeta"
2024,13,MAT,M05,M04|M02,"MMC de 30, 84 e 165 anos; próximo alinhamento e diferença de voltas"
2024,14,MAT,M07,M08|M15|M16,"0,65 do total, 3/7 do resto, 8000 dam; tempo do menor trecho"
2024,15,MAT,M01,M02|M07,"código de 3 dígitos com anos em romanos, oitava parte e ordens"
2024,16,MAT,M14,M15|M08,"diferença em litros entre paralelepípedo e outro com metade das medidas"
2024,17,MAT,M06,M15|M04,"MDC de massas em hg, kg e dag; resposta em centigramas"
2024,18,MAT,M12,M10|M15|M08,"área de triângulo na malha de 2,5 km; 45% em hm²"
2024,19,MAT,M01,M02|M17,"4 passagens de R$ 121 milhões: classes, ordens e valor posicional"
2024,20,MAT,M12,M08,"perímetro de figura na malha com quadradinho de 1,25 cm"
2024,21,PORT,P06,,"finalidade do texto jornalístico sobre celular em sala de aula"
2024,22,PORT,P07,P01,"o que a expressão esses motivos retoma; verbos correspondentes"
2024,23,PORT,P02,,"ideia expressa por restringir o acesso no contexto"
2024,24,PORT,P12,,"significado oposto da palavra agregar no trecho"
2024,25,PORT,P18,P05,"verbos da tirinha no pretérito perfeito do indicativo"
2024,26,PORT,P10,P05|P03,"de onde vem o humor da tirinha do pai distraído com celular"
2024,27,PORT,P02,P05,"sentido de vive em ele vive distraído (frequentemente)"
2024,28,PORT,P10,P05,"ironia na charge da família com celular (verbal e não verbal)"
2024,29,PORT,P19,,"tipo de pronome que substitui eu e sua mãe"
2024,30,PORT,P12,P02,"qual palavra pode ser substituída sem prejuízo de sentido"
2024,31,PORT,P07,P19,"a que se refere o pronome isso no título do texto"
2024,32,PORT,P16,,"processo de derivação da palavra reiterar (prefixação)"
2024,33,PORT,P11,P05,"vírgula ausente na fala da charge: isolar vocativo"
2024,34,PORT,P15,P16,"classe gramatical de distúrbios (substantivo no plural)"
2024,35,PORT,P02,P05,"sentido mais próximo de tirar o olhar das telas no infográfico"
2024,36,PORT,P06,P05,"principal finalidade do gênero textual infográfico sobre telas"
2024,37,PORT,P02,P12,"sentido mais próximo de construção na entrevista"
2024,38,PORT,P13,P03,"efeito das aspas em estável e finais na entrevista"
2024,39,PORT,P08,,"qual trecho da entrevista traz opinião além de fato"
2024,40,PORT,P09,P05,"tema da charge do paciente e o terapeuta no Google"
