ano,questao,disciplina,primario,secundarios,resumo
2021,1,MAT,M15,M08|M02,"massa total de 21 medalhas em hg, dg e kg convertida para dag"
2021,2,MAT,M14,M15|M07|M08,"volume da base do monumento em litros; barras medem 1/4 da base"
2021,3,MAT,M20,M10|M07,"probabilidade de sortear atleta militar por força armada, com porcentagem"
2021,4,MAT,M10,M08,"15% de 4,1 km de pista plana e o restante de terreno irregular"
2021,5,MAT,M18,M07|M10,"tabela e gráfico de atletas e medalhas: julgar frações e porcentagens"
2021,6,MAT,M19,M18,"média de medalhas do Brasil nos últimos 6 jogos pelo gráfico"
2021,7,MAT,M05,M16|M02,"MMC de voltas de 24, 32 e 36 s: encontro e número de voltas"
2021,8,MAT,M07,M08|M15,"0,75 do percurso, 2/9 do resto, faltam 140 dam; total em metros"
2021,9,MAT,M19,M08|M18,"diferença entre médias de tempo por atleta de Canadá e Itália na tabela"
2021,10,MAT,M01,M07|M03|M02,"fração de quantidade de medalhas e classes e ordens do total de ganhadores"
2021,11,MAT,M04,M07,"quantidade de divisores de 68.000 e fração de divisores ímpares ou pares"
2021,12,MAT,M12,M13|M15,"diferença de perímetros das vistas frontal e superior de paralelepípedo"
2021,13,PORT,P03,P04|P01,"por que a Rainha se sentou arquejante: causa no enredo"
2021,14,PORT,P16,P02,"diminutivo com sentido só de tamanho e não afetivo (velhinho, gatinha)"
2021,15,PORT,P12,P02|P15,"substituir expressão com X por advérbio de mesmo sentido (com frenesi)"
2021,16,PORT,P07,P19,"referentes de esta sala, aqui, ali, los, a e me no texto"
2021,17,PORT,P15,P02,"relação expressa pelas preposições para, sobre, de, sem, por"
2021,18,PORT,P02,,"sentido da expressão estava de gatinhas no contexto"
2021,19,PORT,P07,P15,"conectivo que une dois enunciados sem alterar o sentido (porquanto)"
2021,20,PORT,P03,P06|P09,"relacionar Texto 1 e Texto 2: brincar dá razão para viver"
2021,21,PORT,P12,P02,"antônimo de insultos no contexto do diálogo (desafrontas)"
2021,22,PORT,P05,P01,"cruzar diálogo e imagem do tabuleiro: movimento do cavalo C3 a D5"
2021,23,PORT,P11,,"vírgula que mantém o sentido da fala de Lucas com ordem alterada"
2021,24,PORT,P05,P03,"tirinha do Armandinho: sentimento do menino no segundo quadrinho"
