ano,questao,disciplina,primario,secundarios,resumo
2022,1,MAT,M12,M07|M15,"áreas na malha quadriculada de 7 km: comparar regiões por fração e dobro"
2022,2,MAT,M06,M02|M15,"MDC de troncos de 810, 540 e 360 cm; número de pedaços iguais"
2022,3,MAT,M09,M08|M02,"expressão com decimais dá km por hora do drone; dobrar para duas horas"
2022,4,MAT,M10,M08,"aumento de 20% seguido de desconto de 20% no preço do drone"
2022,5,MAT,M18,M10|M01|M04,"gráfico de setores com 250.000 entrevistados: porcentagem, ordens e classes, múltiplos"
2022,6,MAT,M10,M18|M08,"gráfico de linha: aumento de 103% sobre 748 usuários de app"
2022,7,MAT,M04,,"número de ônibus de dois algarismos ímpares divisível pelo algarismo das unidades"
2022,8,MAT,M15,M16|M02,"passos de 60 cm, um por segundo, durante 15 minutos; distância em metros"
2022,9,MAT,M19,M02|M08,"média de 176,5 g de 4 iPhones; descobrir e comparar o peso do iPhone 13"
2022,10,MAT,M10,M12|M08|M15,"aumento do comprimento em mm para a área da tela ficar 2% maior"
2022,11,MAT,M04,,"menor múltiplo de 7 maior que 4 580 247"
2022,12,MAT,M20,M04,"probabilidade de acertar dois dígitos entre 10 e 71 divisíveis por 12"
2022,13,MAT,M07,M04,"multiplicar frações e simplificar: numeradores e denominadores formam a senha"
2022,14,MAT,M14,M15|M02,"volume de dois gabinetes em cm e mm; comparar com cubos de 1 dm"
2022,15,MAT,M05,M16,"MMC de luzes que acendem a cada 18, 12 e 10 minutos, em horas"
2022,16,PORT,P04,P09,"elementos da narrativa: narrador onisciente, espaço, tempo e foco em Graciliano Ramos"
2022,17,PORT,P19,P07,"a quem se referem os pronomes oblíquos lo e lhe"
2022,18,PORT,P02,P12,"coloquialismos: termo que mais se distancia do sentido de mangavam"
2022,19,PORT,P03,,"conclusão sobre as ideias do texto: Raimundo cria fantasia para fugir da rejeição"
2022,20,PORT,P11,,"vírgula com a mesma função de enumeração do trecho dado"
2022,21,PORT,P03,P09,"o que sugere o trecho Todos diferentes, todos iguais"
2022,22,PORT,P02,P07,"ideia expressa pelo termo aí em É aí que está a nossa chave"
2022,23,PORT,P07,P03,"relações de sentido de não, porque, mas, porque: dever humano acima da lei"
2022,24,PORT,P06,P04,"finalidade discursiva e gênero do Texto 1 (narrativa) e Texto 2 (exposição)"
2022,25,PORT,P07,P02,"ideia reforçada pela conjunção ou: inclusão"
2022,26,PORT,P12,P02,"sinônimo mais adequado para universal no título da Declaração"
2022,27,PORT,P05,P06,"finalidade do cartum: felicidade em atos que libertam (verbal e não verbal)"
2022,28,PORT,P05,P16|P03,"prefixo IM riscado no cartaz; trecho da sinopse que representa a conclusão"
2022,29,PORT,P05,P03|P12,"relacionar cartaz e sinopse UglyDolls: feiura evidenciada de forma não verbal"
2022,30,PORT,P13,P14,"por que feiura aparece entre aspas: ressignificação do termo"
