ano,questao,disciplina,primario,secundarios,resumo
2020,1,MAT,M15,M07|M02,"área do Disney em ha e m² vs Hollywood Studios; fração 1/200 e dam²"
2020,2,MAT,M01,M18|M10|M02,"soma de visitantes da tabela +50%; ordens e classes do resultado"
2020,3,MAT,M04,M03,"número com 20 divisores da forma 2 vezes 10 elevado a k (anulada)"
2020,4,MAT,M10,M02|M08,"afirmações percentuais sobre dados da Árvore da Vida na Disney"
2020,5,MAT,M16,M02,"hora de chegada em Orlando com escala e fuso horário (anulada)"
2020,6,MAT,M09,M07|M08|M03,"duas expressões com raízes, potências, decimais e frações mistas; menor resultado"
2020,7,MAT,M06,M04|M02,"MDC a partir dos restos das divisões de 257, 315, 165 e 215; soma x+y"
2020,8,MAT,M12,M15|M07|M08,"área de triângulos isósceles do castelo; 2/5 e conversão m² para cm²"
2020,9,MAT,M07,M05,"ordem decrescente de sete frações (alturas dos anões)"
2020,10,MAT,M13,,"vista frontal de pilha de blocos cúbicos coloridos (Toy Story Land)"
2020,11,MAT,M17,M08|M02,"dólar a R$ 5,65 vs moedas do cofrinho; faltam ou sobram moedas de 5 centavos"
2020,12,MAT,M18,M10|M08,"gráfico de barras do dólar 2017-2020; afirmações percentuais"
2020,13,PORT,P01,,"informação explícita sobre os heróis do Texto 1 (Orfeu, Hércules, Jasão)"
2020,14,PORT,P03,P01,"conclusão sobre a imortalidade de Hércules no Texto 1"
2020,15,PORT,P07,P19,"referentes de que, isso, nosso, seu e valor de com no Texto 1"
2020,16,PORT,P06,P04,"tipologia dos Textos 1 e 2: expositivo versus narrativo"
2020,17,PORT,P11,,"exclusão da vírgula que altera o sentido em trecho do Texto 2"
2020,18,PORT,P13,,"ideia anunciada pelos dois-pontos em trazia gravado seu nome: Excalibur (retificada)"
2020,19,PORT,P07,P15,"fragmento do Texto 2 com relação de causa e consequência"
2020,20,PORT,P02,P12,"sentido de peleja no poema: batalha (sinônimo)"
2020,21,PORT,P07,P15,"relação lógico-discursiva de e, tampouco, que, para e se no poema"
2020,22,PORT,P03,P12|P10,"efeito da repetição de herói e outros recursos de linguagem do poema"
2020,23,PORT,P05,P09|P03,"relacionar poema Heróis da vida real com imagem de profissionais"
2020,24,PORT,P06,P05|P10,"finalidade da tirinha do super Nino: expectativa versus realidade"
